filename	label	dog_prototype	self_prototype
n02110806/n02110806_1013.JPEG	basenji	2.242763339518017e-14	2.9095546665453498e-15
n02110806/n02110806_1019.JPEG	basenji	2.648965525169417e-13	1.2849434148778863e-12
n02110806/n02110806_10205.JPEG	basenji	1.4176349512900273e-12	1.2546945548750589e-15
n02110806/n02110806_10220.JPEG	basenji	2.4252682163288135e-12	3.009097101284974e-14
n02110806/n02110806_10232.JPEG	basenji	9.04647612443457e-15	5.900463431535339e-15
n02110806/n02110806_10702.JPEG	basenji	2.6269900520462517e-11	2.933897585033019e-12
n02110806/n02110806_10730.JPEG	basenji	9.681346299742224e-13	3.686411657939425e-12
n02110806/n02110806_1074.JPEG	basenji	5.901242813737722e-28	1.4067701045868223e-32
n02110806/n02110806_1119.JPEG	basenji	1.3590316178049754e-15	2.240888231081663e-17
n02110806/n02110806_11254.JPEG	basenji	1.9514237316816565e-11	9.392879034536365e-12
n02110806/n02110806_11269.JPEG	basenji	3.723907246437341e-11	8.266075621352283e-12
n02110806/n02110806_1247.JPEG	basenji	9.80790657015645e-13	9.625961280015086e-14
n02110806/n02110806_12657.JPEG	basenji	1.2127296341144892e-14	5.502459820038156e-16
n02110806/n02110806_12831.JPEG	basenji	3.8571472959814403e-13	6.782267169214937e-14
n02110806/n02110806_12999.JPEG	basenji	9.551162079018425e-12	1.0891964364466798e-12
n02110806/n02110806_13172.JPEG	basenji	1.0073405948296932e-12	2.1292342452530614e-13
n02110806/n02110806_13213.JPEG	basenji	6.291766326076275e-13	1.534354746560682e-13
n02110806/n02110806_1353.JPEG	basenji	7.064731549184008e-16	1.52927910204664e-17
n02110806/n02110806_13643.JPEG	basenji	2.284921439409127e-12	3.6226387636572344e-13
n02110806/n02110806_13718.JPEG	basenji	1.448096260901909e-13	4.276077626959834e-14
n02110806/n02110806_13751.JPEG	basenji	7.710223700194222e-17	1.8812158528545206e-18
n02110806/n02110806_14369.JPEG	basenji	5.349924141579271e-13	3.066195015882216e-14
n02110806/n02110806_14441.JPEG	basenji	1.602249500997441e-13	3.677015589307017e-15
n02110806/n02110806_1467.JPEG	basenji	1.3827242489514992e-10	7.112921123348571e-12
n02110806/n02110806_1471.JPEG	basenji	3.3135128456259907e-15	3.3365954823435013e-15
n02110806/n02110806_14946.JPEG	basenji	2.037002983078994e-12	8.712678943256187e-16
n02110806/n02110806_1577.JPEG	basenji	5.792317042887518e-14	1.1139314315932688e-13
n02110806/n02110806_15978.JPEG	basenji	7.365177761407544e-13	7.572213127494808e-14
n02110806/n02110806_17037.JPEG	basenji	2.0901764584341945e-15	1.032430445417896e-15
n02110806/n02110806_1782.JPEG	basenji	3.889772930584635e-14	2.685653767012357e-15
n02110806/n02110806_18006.JPEG	basenji	5.20345554877729e-14	1.4537675873190596e-14
n02110806/n02110806_18299.JPEG	basenji	4.4212569066037083e-16	4.1457204290781883e-16
n02110806/n02110806_1898.JPEG	basenji	1.6723742388908104e-12	2.480514251335663e-12
n02110806/n02110806_19383.JPEG	basenji	9.314516281765926e-13	9.900747743062705e-13
