filename	label	bop_prototypicality	self_prototypicality
n01616318/n01616318_10829.JPEG	vulture	4.2588301700412206e-14	3.506075352836026e-15
n01616318/n01616318_1138.JPEG	vulture	2.939176810893798e-11	1.7824549158264895e-11
n01616318/n01616318_11708.JPEG	vulture	2.5818521563850602e-14	9.699452495541186e-15
n01616318/n01616318_11768.JPEG	vulture	1.7794214714713957e-14	6.219505044886225e-15
n01616318/n01616318_12031.JPEG	vulture	1.2304878766650537e-14	9.397835665887882e-15
n01616318/n01616318_12162.JPEG	vulture	1.801753723071351e-11	2.331623699627109e-12
n01616318/n01616318_1222.JPEG	vulture	2.725600660087284e-13	2.2343772212303458e-13
n01616318/n01616318_12369.JPEG	vulture	1.6364737200165055e-12	1.5459316594040147e-13
n01616318/n01616318_12396.JPEG	vulture	2.5386678235403545e-16	6.370521605773986e-17
n01616318/n01616318_12494.JPEG	vulture	1.0518604718763185e-15	3.8276963438319925e-16
n01616318/n01616318_12581.JPEG	vulture	3.2210560929626175e-13	1.5623698887843146e-13
n01616318/n01616318_12713.JPEG	vulture	7.495604986265795e-20	3.156268571110857e-19
n01616318/n01616318_12768.JPEG	vulture	4.584495560713673e-15	9.9161252402488e-16
n01616318/n01616318_129.JPEG	vulture	9.178536917263945e-16	5.041492465766695e-16
n01616318/n01616318_1306.JPEG	vulture	5.658253725506247e-15	1.1634517935951852e-16
n01616318/n01616318_13070.JPEG	vulture	1.779357153480748e-17	6.544803626246522e-18
n01616318/n01616318_1321.JPEG	vulture	2.909061310203917e-11	9.718823623555869e-12
n01616318/n01616318_1366.JPEG	vulture	3.977076078988849e-14	1.073209479346658e-13
n01616318/n01616318_13778.JPEG	vulture	1.9496525625107467e-14	1.6067786486704992e-14
n01616318/n01616318_13806.JPEG	vulture	2.3930673492028158e-17	1.0116796085348236e-19
n01616318/n01616318_1418.JPEG	vulture	2.9565083825932882e-15	5.100598829424336e-15
n01616318/n01616318_14310.JPEG	vulture	1.9555090684723033e-15	1.6222202815889537e-15
n01616318/n01616318_1477.JPEG	vulture	8.965660462070477e-19	1.0956029324003224e-18
n01616318/n01616318_1546.JPEG	vulture	2.739115446573953e-16	5.7374423138082e-17
n01616318/n01616318_1661.JPEG	vulture	2.3569947787728427e-22	2.6190404621759915e-23
n01616318/n01616318_1703.JPEG	vulture	1.15506195311708e-12	2.3771915643923113e-13
n01616318/n01616318_1706.JPEG	vulture	4.212501158830383e-18	2.001396636701549e-18
n01616318/n01616318_1713.JPEG	vulture	5.323735153307318e-15	6.7805276031838436e-15
n01616318/n01616318_1727.JPEG	vulture	1.8987504773984233e-16	5.072240377211634e-18
n01616318/n01616318_1807.JPEG	vulture	1.4830486422055052e-15	6.230327008723736e-15
n01616318/n01616318_1824.JPEG	vulture	6.892524941903904e-10	1.5442053715294092e-09
n01616318/n01616318_19129.JPEG	vulture	7.691239379056456e-22	6.3946477634469995e-22
n01616318/n01616318_1950.JPEG	vulture	1.17144908263224e-10	8.301401819648373e-11
n01616318/n01616318_2025.JPEG	vulture	1.9706908169645666e-17	1.1771390280481049e-17
n01616318/n01616318_2033.JPEG	vulture	9.89724127697345e-13	3.31558891590255e-13
n01616318/n01616318_2062.JPEG	vulture	8.176687206121841e-16	1.9046941667976082e-16
n01616318/n01616318_2065.JPEG	vulture	2.7641813204216557e-13	8.355782928741487e-14
n01616318/n01616318_2083.JPEG	vulture	2.769035220357787e-14	2.794072691551549e-14
n01616318/n01616318_2120.JPEG	vulture	4.770981801910464e-17	1.7067161631681233e-16
n01616318/n01616318_2139.JPEG	vulture	4.448062078120268e-12	1.6899800545091997e-12
n01616318/n01616318_2165.JPEG	vulture	9.506437353525703e-16	3.624611855885477e-16
n01616318/n01616318_2169.JPEG	vulture	4.7574155321512636e-11	5.758669802326694e-12
n01616318/n01616318_2186.JPEG	vulture	1.4911236209985032e-16	1.2436955159134605e-17
n01616318/n01616318_2290.JPEG	vulture	8.030700733868624e-14	8.475462030651265e-15
n01616318/n01616318_2347.JPEG	vulture	1.6728330350111939e-12	1.0189427742192508e-12
n01616318/n01616318_23533.JPEG	vulture	4.234111354886739e-12	7.887510883718295e-13
n01616318/n01616318_23792.JPEG	vulture	1.1582148959009554e-14	2.221917608159037e-14
n01616318/n01616318_2439.JPEG	vulture	1.9097326920015826e-17	9.19239586051039e-18
n01616318/n01616318_2481.JPEG	vulture	2.6795129560391287e-14	2.3452444587365673e-15
n01616318/n01616318_2709.JPEG	vulture	3.0791393639417154e-10	8.393692301436701e-11
n01616318/n01616318_2790.JPEG	vulture	3.5596018338722635e-11	5.77486280225648e-12
n01616318/n01616318_2820.JPEG	vulture	4.1687956892951756e-10	2.899450569684994e-10
n01616318/n01616318_2838.JPEG	vulture	3.96244778017243e-18	2.3757396362418304e-18
n01616318/n01616318_299.JPEG	vulture	4.865157470875548e-16	1.656781906566918e-16
