label	dog_prototype
basenji	0.17287939257315268
dalmatian	3.8516836785310173e-05
Great_Pyrenees	0.23092498854785112
Leonberg	0.15228397198786034
Mexican_hairless	0.4469258573010145
Newfoundland	0.1689522350344205
pug	0.28395736169774677
Cardigan	0.4771953456340466
Pembroke	0.38409486038085483
Brabancon_griffon	0.6021094647714382
Rhodesian_ridgeback	0.38124432468659397
miniature_poodle	0.2501744352830866
standard_poodle	0.09562456826649852
toy_poodle	0.3737294727419219
chow	0.254022031358597
keeshond	0.19172926831651999
Pomeranian	0.2261813309929105
Samoyed	0.22210823006752042
Chihuahua	0.3157188428604282
Japanese_spaniel	0.27132568987184136
Maltese_dog	0.47448286215477703
Pekinese	0.39033393186567833
Shih-Tzu	0.34364979377210075
toy_terrier	0.32398964916789846
boxer	0.2758216191107288
bull_mastiff	0.4633424927994917
Eskimo_dog	0.18913454717908676
Great_Dane	0.5723465112242844
Saint_Bernard	0.3187602434372006
Afghan_hound	0.3107591644350879
basset	0.19272779036228965
beagle	0.32322985066957316
bloodhound	0.42456306690866064
bluetick	3.230905288293555e-05
Ibizan_hound	0.44514994927772067
Norwegian_elkhound	0.2025682512153312
otterhound	0.4591016256280657
redbone	0.3469449546372308
Saluki	0.4556233302976101
Scottish_deerhound	0.2599343990727848
Weimaraner	0.48124933221352706
Airedale	0.09180306688268665
Australian_terrier	0.175875293168344
Bedlington_terrier	0.05576590483523527
Border_terrier	0.4797699933930709
Boston_bull	0.33145163405367056
cairn	0.2889216158658675
Dandie_Dinmont	0.5309000217012648
Irish_terrier	0.29723063443772046
Kerry_blue_terrier	0.05897621707559172
Lhasa	0.3567858791464317
Norfolk_terrier	0.2288305229723886
Norwich_terrier	0.13216264021596075
Scotch_terrier	0.08474015707329198
silky_terrier	0.21979693657801314
soft-coated_wheaten_terrier	0.23843960905547576
Tibetan_terrier	0.34462877071473785
West_Highland_white_terrier	0.2913264875171788
Yorkshire_terrier	0.19108874953171046
papillon	0.24675943943162829
French_bulldog	0.3238805896696884
Tibetan_mastiff	0.2365433977273064
Appenzeller	0.3381164444453017
Bernese_mountain_dog	0.21610809057543154
EntleBucher	0.41324877445044256
Greater_Swiss_Mountain_dog	0.3328567617337558
Border_collie	0.39541010594049764
Bouvier_des_Flandres	0.2396400454118754
briard	0.4549325854443613
collie	0.3869654556086165
German_shepherd	0.3556780219803715
kelpie	0.3948011356912394
komondor	0.2626995978464318
Old_English_sheepdog	0.35896664034394166
Rottweiler	0.41828382567447636
Shetland_sheepdog	0.2893188383554607
malamute	0.19255034474966204
Siberian_husky	0.22629215632702276
kuvasz	0.38702096612615045
schipperke	0.3507207109974518
black-and-tan_coonhound	0.36621518429990496
English_foxhound	0.2271980689157122
Walker_hound	0.17437809026893653
Italian_greyhound	0.23873648305301043
whippet	0.3940840023621452
borzoi	0.2528853003778739
Irish_wolfhound	0.3915705411627063
German_short-haired_pointer	0.0003186071560285329
vizsla	0.2798035493823576
Chesapeake_Bay_retriever	0.39899981555341657
curly-coated_retriever	0.20938908517036603
flat-coated_retriever	0.38418861510429264
golden_retriever	0.4239911254738902
Labrador_retriever	0.33625192636973184
English_setter	0.2691842665869491
Gordon_setter	0.37825926404754917
Irish_setter	0.2130477140990735
Brittany_spaniel	0.2760126019984427
clumber	0.1975446353186584
cocker_spaniel	0.14733309498098285
Sussex_spaniel	0.21688300484888257
American_Staffordshire_terrier	0.2670001508488295
Staffordshire_bullterrier	0.19447669101999057
wire-haired_fox_terrier	0.0937241611726251
giant_schnauzer	0.07060037464270481
miniature_schnauzer	0.02970916758777454
standard_schnauzer	0.03698910761207296
Lakeland_terrier	0.11931745156848558
Blenheim_spaniel	0.15805829884735895
groenendael	0.3077457824919761
malinois	0.44713422961456223
affenpinscher	0.5170486640101167
Doberman	0.32022852949543845
miniature_pinscher	0.13256864750018793
English_springer	0.22673339502849765
Welsh_springer_spaniel	0.08823488433271309
Irish_water_spaniel	0.13811350877646367
Sealyham_terrier	0.2018102576197171
